gender id vowel accuracy iy ih ei eh ae ah aw oa oo uw uh er vote
m 08 uw 95.0 0 0 0 0 0 0 0 0 1 19 0 0 uw
m 09 ae 75.0 0 0 0 5 15 0 0 0 0 0 0 0 ae
m 09 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 09 aw 90.0 0 0 0 0 0 1 18 0 0 0 1 0 aw
m 09 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 09 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 09 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 09 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 09 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 09 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 09 oo 95.0 0 0 0 0 0 0 0 0 19 1 0 0 oo
m 09 uh 90.0 0 0 0 0 0 0 0 0 2 0 18 0 uh
m 09 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 10 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 10 ah 85.0 0 0 0 0 0 17 2 0 0 0 0 1 ah
m 10 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 10 eh 95.0 0 0 0 19 0 0 0 0 1 0 0 0 eh
m 10 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 10 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 10 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 10 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 10 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 10 oo 90.0 0 0 0 0 0 0 0 0 18 2 0 0 oo
m 10 uh 90.0 0 0 0 0 0 2 0 0 0 0 18 0 uh
m 10 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 11 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
