16768.3778515 -10139.7321788
-10139.7321788 71980.3472259

5723.16713187 18126.6624749
18126.6624749 80531.1472081

10062.2183762 2805.85405538
2805.85405538 17382.2940235

6822.54607212 16800.9390491
16800.9390491 103814.970834

1608.5441242 -434.233777065
-434.233777065 8520.53949935

6871.41409936 2108.49219801
2108.49219801 23033.0494838

5635.13476469 -27366.4010516
-27366.4010516 164471.503041

1795.24650773 -4530.86384511
-4530.86384511 110175.844407

23904.7033163 12580.5518186
12580.5518186 21534.3453828

5731.91047945 -8222.96773784
-8222.96773784 35926.9285119

5688.80255721 -10573.0983064
-10573.0983064 41000.9587249

3509.92004781 2801.04970319
2801.04970319 16686.8819678

